,source,dest,cost_20ft,time_20ft,cost_40ft,time_40ft,cost_roro,time_roro
205,N4,M5,61.3468623,40.33333333,29.94311136,40.33333333,53.68,45.0
206,N4,M6,63.235061,37.0,30.86473214,37.0,54.455,27.5
207,N4,M7,48.50609756,37.75,23.67559524,37.75,38.015,15.0
208,N4,M8,45.93368903,34.25,22.42001488,34.25,117.115,58.5
209,N4,M9,76.3262195,25.0,37.25446429,25.0,107.125,53.9
210,N4,M10,37.94207317,33.5,18.51934524,33.5,38.0,24.0
211,N4,M11,74.03963415,54.0,36.13839286,54.0,146.395,73.1
212,N4,M12,46.8292683,41.0,22.85714286,41.0,38.015,18.0
213,N4,M13,68.20884145,38.75,33.29241071,38.75,56.455,25.0
214,N4,K1,36.22110192,41.28571429,17.67934736,41.28571429,37.755,37.8
215,N4,K2,212.3680792,109.880316,103.6558482,109.880316,204.95,102.3
216,N4,K3,37.79659553,45.16666667,18.44833829,45.16666667,64.115,37.2
217,N4,K4,227.5372277,117.72891,111.0598373,117.72891,219.59,109.6
218,N4,K5,30.86295732,42.5,15.0640625,42.5,117.095,52.0
219,N4,A1,34.97911586,64.0,17.07313988,64.0,200.86,28.0
220,N4,A2,30.759375,44.5,15.01350446,44.5,214.25,30.0
221,N4,A3,29.05912457,45.57142857,14.18362032,45.57142857,54.13,46.0
222,N4,A4,31.2347561,31.0,15.24553571,31.0,44.315,58.0
223,N4,A5,29.4058435,46.0,14.35285218,46.0,61.675,67.0
224,N4,A6,41.04591681,49.07142857,20.03431654,49.07142857,54.315,54.0
225,N4,A7,34.31253811,47.0,16.74778646,47.0,54.825,41.0
226,N4,A8,31.25316311,42.0,15.25452009,42.0,95.09,90.0
227,N4,A9,46.17886179,42.0,22.53968254,42.0,241.03,121.3
228,N4,A10,227.5372277,117.72891,111.0598373,117.72891,219.59,109.6
229,N4,A11,212.3680792,109.880316,103.6558482,109.880316,204.95,102.3
230,N4,A12,28.14161586,21.0,13.73578869,21.0,83.785,63.0
231,N4,A13,182.0297822,94.18312799,88.84786986,94.18312799,103.17,43.5
232,N4,A14,156.068389,84.40061137,76.17623748,84.40061137,109.915,83.4
233,N4,Z1,49.66463415,41.0,24.24107143,41.0,111.485,25.0
234,N4,Z2,86.05731705,49.0,42.00416667,49.0,101.41,29.1
235,N4,Z3,43.56707317,39.0,21.26488095,39.0,111.48,30.4
236,N4,Z4,197.1989307,102.031722,96.25185901,102.031722,112.015,22.4
237,N4,Z5,273.0446732,141.274692,133.2718048,141.274692,263.51,34.8
238,N4,Z6,121.3531881,62.78875199,59.23191324,62.78875199,117.115,58.5
239,N4,Z7,242.7063762,125.577504,118.4638265,125.577504,234.23,116.9
240,N5,N9,45.50744554,23.545782,22.21196746,23.545782,43.92,21.9
241,N5,N10,60.67659405,31.394376,29.61595662,31.394376,58.56,29.2
242,N5,S1,51.9359756,11.0,25.34970238,11.0,87.835,43.9
243,N5,S2,121.3531881,62.78875199,59.23191324,62.78875199,117.115,58.5
244,N5,S3,166.8606337,86.33453399,81.4438807,86.33453399,161.035,80.4
245,N5,S4,185.7396799,98.69802692,90.65865327,98.69802692,179.665,95.4
246,N5,S5,114.3013415,60.73724734,55.78994048,60.73724734,110.565,58.7
247,N5,S6,91.01489105,47.091564,44.42393493,47.091564,87.835,43.9
248,N5,S7,75.84574255,39.24297,37.01994577,39.24297,73.195,36.5
249,N5,S8,182.0297822,94.18312799,88.84786986,94.18312799,175.675,87.7
250,N5,E1,34.73323171,42.5,16.953125,42.5,49.135,23.0
251,N5,E2,39.84756098,36.0,19.44940476,36.0,174.075,87.6
252,N5,E3,146.8908033,86.35963911,71.69670162,86.35963911,225.455,128.0
253,N5,E4,124.2922182,73.07354078,60.66643983,73.07354078,48.69,22.0
254,N5,E5,51.8140244,36.0,25.29017857,36.0,147.295,74.1
255,N5,E6,110.1659217,59.57690214,53.77146175,59.57690214,160.685,80.9
256,N5,E7,119.3464151,64.54164399,58.25241689,64.54164399,174.075,87.6
257,N5,E8,135.5915108,79.71658994,66.18157073,79.71658994,208.11,118.2
258,N5,E9,124.2922182,73.07354078,60.66643983,73.07354078,190.77,108.3
259,N5,E10,40.17118903,32.33333333,19.60736607,32.33333333,187.47,94.4
260,N5,E11,101.6936331,59.78744246,49.63617804,59.78744246,156.085,88.6
261,N5,M1,119.3464151,64.54164399,58.25241689,64.54164399,174.075,87.6
262,N5,M2,128.5269086,69.50638583,62.73337204,69.50638583,187.47,94.4
263,N5,M3,137.7074021,74.47112768,67.21432718,74.47112768,200.86,101.1
264,N5,M4,273.0446732,141.274692,133.2718048,141.274692,263.51,131.6
265,N5,M5,227.5372277,117.72891,111.0598373,117.72891,219.59,109.6
266,N5,M6,212.3680792,109.880316,103.6558482,109.880316,204.95,102.3
267,N5,M7,182.0297822,94.18312799,88.84786986,94.18312799,175.675,87.7
268,N5,M8,151.6914851,78.48593999,74.03989155,78.48593999,146.395,73.1
269,N5,M9,91.8049347,49.64741845,44.80955146,49.64741845,133.905,67.4
270,N5,M10,100.9854282,54.6121603,49.2905066,54.6121603,147.295,74.1
271,N5,M11,182.0297822,94.18312799,88.84786986,94.18312799,175.675,87.7
272,N5,M12,166.8606337,86.33453399,81.4438807,86.33453399,161.035,80.4
273,N5,M13,197.1989307,102.031722,96.25185901,102.031722,190.31,95.0
274,N5,K1,146.8878955,79.43586953,71.69528233,79.43586953,214.25,107.8
275,N5,K2,242.7063762,125.577504,118.4638265,125.577504,234.23,116.9
276,N5,K3,137.7074021,74.47112768,67.21432718,74.47112768,200.86,101.1
277,N5,K4,257.8755247,133.426098,125.8678156,133.426098,248.87,124.3
278,N5,K5,156.068389,84.40061137,76.17623748,84.40061137,227.64,114.6
279,N5,A1,65.1084883,42.4095557,31.7791431,42.4095557,40.83,19.0
280,N5,A2,39.40548781,31.5,19.23363095,31.5,105.95,17.0
281,N5,A3,27.0083435,25.06666667,13.18264385,25.06666667,56.04,27.0
282,N5,A4,27.73131849,30.68115942,13.5355245,30.68115942,55.06,48.3
283,N5,A5,29.49950204,30.0,14.39856647,30.0,61.52,56.1
284,N5,A6,38.68671045,42.53846154,18.88279915,42.53846154,210.835,126.5
285,N5,A7,32.1257622,41.875,15.68043155,41.875,200.13,101.9
286,N5,A8,39.17682927,50.0,19.12202381,50.0,66.48,41.0
287,N5,A9,32.40219948,39.14285714,15.81535927,39.14285714,182.725,109.6
288,N5,A10,28.91934803,20.30769231,14.11539606,20.30769231,126.5,75.9
289,N5,A11,115.5407678,57.98338344,56.39489853,57.98338344,126.5,75.9
290,N5,A12,108.1254336,77.46341801,52.77550924,77.46341801,62.52,38.4
291,N5,A13,28.08973577,28.33333333,13.71046627,28.33333333,126.5,75.9
292,N5,A14,128.3786308,64.4259816,62.66099837,64.4259816,74.375,53.1
293,N5,Z1,128.3786308,64.4259816,62.66099837,64.4259816,86.25,50.0
294,N5,Z2,57.16153845,36.61538462,27.90027473,36.61538462,86.25,52.0
295,N5,Z3,67.4649221,27.33333333,32.92930721,27.33333333,86.25,42.0
296,N5,Z4,61.042937,77.31117791,29.79476687,77.31117791,168.67,101.2
297,N5,Z5,50.39658535,90.19637423,24.59833333,90.19637423,196.78,118.1
298,N5,Z6,59.75905255,45.09818712,29.16810897,45.09818712,98.39,59.0
299,N5,Z7,128.3786308,64.4259816,62.66099837,64.4259816,140.555,84.3
300,N6,N9,60.67659405,31.394376,29.61595662,31.394376,58.56,29.2
301,N6,N10,75.84574255,39.24297,37.01994577,39.24297,73.195,36.5
302,N6,S1,106.1840396,54.94015799,51.82792408,54.94015799,102.475,51.2
303,N6,S2,136.5223366,70.63734599,66.63590239,70.63734599,131.755,65.8
304,N6,S3,182.0297822,94.18312799,88.84786986,94.18312799,175.675,44.0
305,N6,S4,212.3680792,109.880316,103.6558482,109.880316,204.95,102.3
306,N6,S5,136.5223366,70.63734599,66.63590239,70.63734599,131.755,65.8
307,N6,S6,106.1840396,54.94015799,51.82792408,54.94015799,102.475,51.2
308,N6,S7,91.01489105,47.091564,44.42393493,47.091564,87.835,43.9
309,N6,S8,197.1989307,102.031722,96.25185901,102.031722,190.31,95.0
310,N6,E1,119.3464151,64.54164399,58.25241689,64.54164399,37.375,27.0
311,N6,E2,128.5269086,69.50638583,62.73337204,69.50638583,187.47,94.4
312,N6,E3,128.5269086,69.50638583,62.73337204,69.50638583,25.92,94.4
313,N6,E4,110.1659217,59.57690214,53.77146175,59.57690214,38.685,27.0
314,N6,E5,110.1659217,59.57690214,53.77146175,59.57690214,37.6,80.9
315,N6,E6,119.3464151,64.54164399,58.25241689,64.54164399,32.475,87.6
316,N6,E7,128.5269086,69.50638583,62.73337204,69.50638583,187.47,94.4
317,N6,E8,146.8908033,86.35963911,71.69670162,86.35963911,225.455,128.0
318,N6,E9,135.5915108,79.71658994,66.18157073,79.71658994,208.11,118.2
319,N6,E10,137.7074021,74.47112768,67.21432718,74.47112768,200.86,101.1
320,N6,E11,51.1128049,31.5,24.94791667,31.5,118.61,22.0
321,N6,M1,128.5269086,69.50638583,62.73337204,69.50638583,33.945,94.4
322,N6,M2,137.7074021,74.47112768,67.21432718,74.47112768,200.86,101.1
323,N6,M3,146.8878955,79.43586953,71.69528233,79.43586953,214.25,107.8
324,N6,M4,288.2138218,149.123286,140.6757939,149.123286,278.15,138.9
325,N6,M5,242.7063762,125.577504,118.4638265,125.577504,234.23,116.9
326,N6,M6,227.5372277,117.72891,111.0598373,117.72891,219.59,109.6
327,N6,M7,197.1989307,102.031722,96.25185901,102.031722,190.31,95.0
328,N6,M8,166.8606337,86.33453399,81.4438807,86.33453399,161.035,80.4
329,N6,M9,166.8606337,86.33453399,81.4438807,86.33453399,161.035,80.4
330,N6,M10,182.0297822,94.18312799,88.84786986,94.18312799,40.67,87.7
331,N6,M11,197.1989307,102.031722,96.25185901,102.031722,190.31,95.0
332,N6,M12,182.0297822,94.18312799,88.84786986,94.18312799,175.675,87.7
333,N6,M13,212.3680792,109.880316,103.6558482,109.880316,204.95,102.3
334,N6,K1,156.068389,84.40061137,76.17623748,84.40061137,227.64,114.6
335,N6,K2,257.8755247,133.426098,125.8678156,133.426098,248.87,124.3
336,N6,K3,146.8878955,79.43586953,71.69528233,79.43586953,214.25,107.8
337,N6,K4,273.0446732,141.274692,133.2718048,141.274692,263.51,131.6
338,N6,K5,165.2488825,89.36535322,80.65719262,89.36535322,241.03,121.3
339,N6,A1,35.38109756,27.0,17.26934524,27.0,49.57,14.25
340,N6,A2,42.27134147,32.0,20.63244048,32.0,117.725,14.5
341,N6,A3,32.2134505,28.76470588,15.72323179,28.76470588,59.57,25.0
342,N6,A4,154.054357,77.31117791,75.19319804,77.31117791,86.79,49.0
343,N6,A5,29.93629743,28.11111111,14.61176422,28.11111111,85.21,67.5
344,N6,A6,27.63185976,32.5,13.48697917,32.5,196.78,118.1
345,N6,A7,205.4058093,103.0815706,100.2575974,103.0815706,224.89,134.9
346,N6,A8,15.78528964,24.0,7.704724702,24.0,88.455,35.0
347,N6,A9,154.054357,77.31117791,75.19319804,77.31117791,168.67,101.2
348,N6,A10,115.5407678,57.98338344,56.39489853,57.98338344,126.5,75.9
349,N6,A11,115.5407678,57.98338344,56.39489853,57.98338344,126.5,75.9
350,N6,A12,36.60464939,21.0,17.86655506,21.0,82.55,
351,N6,A13,115.5407678,57.98338344,56.39489853,57.98338344,126.5,75.9
352,N6,A14,141.2164939,70.86857976,68.92709821,70.86857976,109.405,58.0
353,N6,Z1,61.45463035,35.375,29.99571243,35.375,140.555,84.3
354,N6,Z2,141.2164939,70.86857976,68.92709821,70.86857976,154.61,92.8
355,N6,Z3,62.9022866,35.0,30.70230655,35.0,168.67,46.0
356,N6,Z4,141.2164939,70.86857976,68.92709821,70.86857976,154.61,92.8
